eventID;Agency;catalog;year;month;day;hour;minute;second;latitude;longitude;Depth;magnitude;magType;catalog
;CERES995;SARA;1797;3;18;20;25;0;0.4;-77.799;;4.95;Mw;sara
;CERES995;SARA;1797;12;14;23;30;0;10.6;-64.099;0;6.32;Mw;sara
;CERES995;SARA;1799;1;21;21;0;0;-12.199;-77.4;40;5.2;Mw;sara
;CERES985;SARA;1799;9;;;;;7.5;-73.5;;5.31;Mw;sara
;CERES995;SARA;1799;11;4;20;42;0;10.47;-64.17;0;4.93;Mw;sara
;CERES995;SARA;1800;2;4;0;0;;3.5;-73;;5.42;Mw;sara
;CERES995;SARA;1800;2;27;9;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1801;1;1;0;0;0;-29.949;-71.25;;6.8;Mw;sara
;CERES995;SARA;1802;5;20;20;30;0;10.48;-68.03;0;4.93;Mw;sara
;CERES995;SARA;1802;;;;;;-0.93;-78.609;;5.42;Mw;sara
;CERES995;SARA;1803;;;;;;-1.67;-78.64;;5.42;Mw;sara
;CERES995;SARA;1804;4;22;0;0;0;-13.5;-72;;6.23;Mw;sara
;INPRE015;SARA;1804;10;27;;;;-31.8;-67.9;;5.47;Mw;sara
;CERES995;SARA;1805;1;27;13;30;0;10.47;-64.17;0;4.93;Mw;sara
;GOMAL015;SARA;1805;6;16;8;15;;5.246;-74.785;;6;Mw;sara
;CERES995;SARA;1806;12;1;23;0;0;-12;-78;30;6.52;Mw;sara
;CERES995;SARA;1807;2;17;17;0;;6.5;-71.7;;5.89;Mw;sara
;CERES995;SARA;1808;8;8;11;0;0;-5.7;-37.7;15;5.05;Mw;sara
;CERES995;SARA;1808;;;;;;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1810;6;19;0;0;0;-3.1;-40.84;;3.6;Mw;sara
;CERES995;SARA;1811;0;0;23;0;0;-30.039;-51.299;;4.44;Mw;sara
;CERES995;SARA;1811;1;14;17;30;0;-16.399;-71.599;;6.23;Mw;sara
;CERES995;SARA;1811;6;4;18;50;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;6;8;2;45;0;-11.4;-77;;6.23;Mw;sara
;CERES995;SARA;1811;7;14;11;37;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;7;26;1;30;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;7;30;7;45;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;8;3;16;30;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;8;18;0;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;10;23;2;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;10;28;22;30;0;-8.08;-34.869;;3.84;Mw;sara
;CERES995;SARA;1811;12;21;15;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;12;23;4;45;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1811;12;30;0;0;0;-12;-77;;6.23;Mw;sara
;CERES995;SARA;1812;1;3;16;45;0;-16.8;-71.799;25;5.11;Mw;sara
;CHOAL010;SARA;1812;3;26;20;7;;10.2;-68.95;;7.4;Mw;sara
;CHOAL010;SARA;1812;3;26;20;7;;10.6;-67.1;;7.1;Mw;sara
;PALAL005;SARA;1812;3;26;;;;8.65;-71.05;;6;Mw;sara
;CERES995;SARA;1812;5;29;4;30;;2.5;-76.5;;5.09;Mw;sara
;CERES995;SARA;1813;3;30;9;30;0;-14.199;-75.799;50;6.52;Mw;sara
;CERES995;SARA;1814;2;1;10;0;0;-5;-81;40;6.23;Mw;sara
;CERES995;SARA;1814;11;19;4;15;;4.6;-74;;5.09;Mw;sara
;CERES995;SARA;1814;11;20;5;0;;2.5;-76.5;;5.09;Mw;sara
;CERES995;SARA;1815;6;0;0;0;0;-12.76;-38.49;;4.08;Mw;sara
;CERES995;SARA;1816;1;20;17;0;0;-36.829;-73.03;;6.8;Mw;sara
;CERES995;SARA;1816;11;29;2;0;;3;-75.4;;5.09;Mw;sara
;CERES995;SARA;1816;11;29;19;0;;3;-75.4;;5.09;Mw;sara
;INPRE012;SARA;1817;7;4;17;30;;-28;-64.5;30;7.01;Mw;sara
;CERES995;SARA;1817;9;18;0;0;;2.5;-76.5;;5.89;Mw;sara
;CERES995;SARA;1819;2;5;9;0;;2.5;-76.5;;5.02;Mw;sara
;CERES995;SARA;1819;4;11;15;;;-27.35;-70.35;;8.5;Mw;sara
;CERES995;SARA;1819;4;12;3;10;0;-16.399;-71.599;;6.23;Mw;sara
;CERES995;SARA;1820;7;8;0;0;;3;-76.5;;5.09;Mw;sara
;CERES995;SARA;1821;7;10;13;;;-16.107;-72.967;90;8.2;Mw;sara
;CERES995;SARA;1821;7;10;18;10;;-16.4;-71.6;;7.9;Mw;sara
;CERES995;SARA;1822;11;5;0;0;0;-27.35;-70.349;;6.8;Mw;sara
;CERES995;SARA;1822;11;20;2;30;;-33.05;-71.63;;8.25;Mw;sara
;CERES995;SARA;1822;11;23;2;30;0;-33.049;-71.629;;6.8;Mw;sara
;CERES995;SARA;1822;11;25;12;15;0;-33.049;-71.629;;7.37;Mw;sara
;CERES995;SARA;1823;8;0;0;0;0;10.48;-63.549;0;6.13;Mw;sara
;CERES995;SARA;1824;8;29;6;0;0;-33.399;-70.599;;6.8;Mw;sara
;CERES995;SARA;1824;12;18;4;0;;5.2;-74.9;;5.09;Mw;sara
;CERES995;SARA;1824;;;;;;-21.98;-44.88;;4.08;Mw;sara
;CERES995;SARA;1824;;;;;;-7.59;-39.28;;2.99;Mw;sara
;CERES995;SARA;1825;9;21;0;0;0;10.8;-61.7;0;6.13;Mw;sara
;CERES995;SARA;1825;12;24;20;30;0;-33.399;-70.599;;6.8;Mw;sara
;INPRE015;SARA;1826;1;19;;;;-26.2;-65.25;;5.9;Mw;sara
;GOMAL015;SARA;1826;6;18;3;30;;5.014;-73.604;;6.5;Mw;sara
;CERES995;SARA;1826;6;21;10;0;;4.8;-73.9;;5.09;Mw;sara
